City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
138,Bluff,NZ,-46.6,168.33,48.0,88,100,7.0,overcast clouds
139,Mayahi,NE,13.96,7.67,81.46,17,0,12.73,clear sky
140,Sur,OM,22.57,59.53,69.62,42,0,4.0,clear sky
141,Junction City,US,39.03,-96.83,55.99,19,1,6.93,clear sky
142,Pahrump,US,36.21,-115.98,86.0,8,34,3.0,scattered clouds
143,Sorong,ID,-0.88,131.25,80.62,81,100,7.49,light rain
144,Salalah,OM,17.02,54.09,77.0,69,0,2.24,clear sky
145,Zyryanka,RU,65.75,150.85,-3.08,91,96,1.83,overcast clouds
146,Tuatapere,NZ,-46.13,167.68,48.0,88,26,7.0,light rain
147,Dunedin,NZ,-45.87,170.5,53.01,58,100,15.01,overcast clouds
148,The Pas,CA,53.83,-101.25,35.6,74,75,8.05,broken clouds
149,Utete,TZ,-7.99,38.76,72.39,93,5,1.97,clear sky
150,Tual,ID,-5.67,132.75,83.7,70,100,14.92,overcast clouds
151,Torrington,US,41.8,-73.12,48.99,97,100,3.0,moderate rain
152,Mae Hong Son,TH,19.3,97.97,71.69,87,97,1.19,overcast clouds
153,Bonnyville,CA,54.27,-110.73,50.0,57,90,10.29,overcast clouds
154,Torbay,CA,47.67,-52.73,39.99,60,75,14.99,broken clouds
155,Bonavista,CA,48.65,-53.11,37.99,64,14,5.82,few clouds
156,Lata,PT,40.16,-8.33,66.0,91,98,1.21,overcast clouds
157,Antalaha,MG,-14.9,50.28,67.44,75,18,7.36,few clouds
158,Norman Wells,CA,65.28,-126.83,8.6,65,20,12.75,few clouds
159,La Ronge,CA,55.1,-105.28,41.0,88,84,5.82,broken clouds
160,Vila Velha,BR,-20.33,-40.29,73.4,78,75,11.41,broken clouds
161,Le Mars,US,42.79,-96.17,44.6,28,1,6.71,clear sky
162,Vanimo,PG,-2.67,141.3,78.85,82,99,5.23,moderate rain
163,Asilah,MA,35.47,-6.03,66.2,72,0,10.29,clear sky
164,Port Lincoln,AU,-34.73,135.87,63.93,61,47,11.5,light rain
165,Tasiilaq,GL,65.61,-37.64,28.4,79,90,5.82,overcast clouds
166,Waingapu,ID,-9.66,120.26,78.66,77,97,5.55,overcast clouds
167,Luanda,AO,-8.84,13.23,77.0,88,75,8.05,broken clouds
168,Hobart,AU,-42.88,147.33,57.2,82,20,5.82,few clouds
169,Bambous Virieux,MU,-20.34,57.76,69.8,64,20,6.93,few clouds
170,Port Elizabeth,ZA,-33.92,25.57,64.4,82,20,11.41,few clouds
171,Sorland,NO,67.67,12.69,49.71,81,100,29.75,light rain
172,Abu Dhabi,AE,24.47,54.37,78.8,74,0,2.24,clear sky
173,Port Alfred,ZA,-33.59,26.89,65.73,83,43,20.69,scattered clouds
174,Saskylakh,RU,71.92,114.08,-10.07,88,88,9.6,overcast clouds
175,Samana,DO,19.21,-69.34,86.0,74,20,11.41,few clouds
176,Rio Gallegos,AR,-51.62,-69.22,66.2,32,0,13.87,clear sky
177,Teya,RU,60.38,92.63,34.54,90,100,13.53,overcast clouds
