City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
588,Carauari,BR,86.9,broken clouds,-4.88,-66.9,Pousada Lobo
589,Harper,LR,77.9,scattered clouds,4.38,-7.72,Screensaver
590,Tutoia,BR,80.53,clear sky,-2.76,-42.27,Pousada Guará's
594,Guayaramerin,BO,87.82,broken clouds,-10.84,-65.36,Hostal FÜNF
595,Bonthe,SL,79.83,clear sky,7.53,-12.51,Bonthe Holiday Village
599,Sena Madureira,BR,88.45,scattered clouds,-9.07,-68.66,Hotel Suzani
603,Major Isidoro,BR,86.72,overcast clouds,-9.53,-36.98,Pousada Brilho da Lua
606,Bintulu,MY,77.0,scattered clouds,3.17,113.03,900 Boutique INN
611,South Venice,US,84.2,clear sky,27.05,-82.42,Rodeway Inn
613,Santa Marta,CO,82.99,moderate rain,11.24,-74.2,Hotel La Ballena Azul
620,Basco,PH,79.97,overcast clouds,20.45,121.97,Nathaniel's Lodge
627,San Lorenzo,PY,87.8,few clouds,-25.33,-57.53,Ámbar Hotel
628,Bubaque,GW,83.71,clear sky,11.28,-15.83,"Casa Dora, Bubaque"
629,Puerto Escondido,MX,85.71,clear sky,15.85,-97.07,Aldea del Bazar Hotel and Spa
634,Ojinaga,MX,78.8,clear sky,29.57,-104.42,Suites Las Palmas
637,Boffa,GN,78.24,clear sky,10.17,-14.03,Hôtel Niara Belly
639,Gat,IL,75.0,overcast clouds,31.61,34.76,OlusHome
641,Trairi,BR,80.51,clear sky,-3.28,-39.27,Pousada Field Lilies - Trairi
642,Thiruvananthapuram,IN,82.4,mist,8.48,76.92,Hotel Residency Tower
644,Kavieng,PG,83.59,few clouds,-2.57,150.8,Nusa Island Retreat
646,Nabire,ID,76.69,overcast clouds,-3.37,135.48,Hotel Nusantara Nabire
654,Biak,ID,77.52,overcast clouds,-0.91,122.88,Kost Ariz
660,Tecoanapa,MX,85.96,clear sky,16.52,-98.75,Hotel Manglares
664,San Cristobal,VE,86.0,scattered clouds,7.77,-72.22,Pirineos
665,Praya,CV,78.8,scattered clouds,14.92,-23.51,LT Aparthotel
667,Kirakira,SB,83.8,broken clouds,-10.45,161.92,SanBiz Lodge
670,Popondetta,PG,78.26,broken clouds,-8.75,148.25,Timos Transit House
671,Mercedes,AR,75.0,clear sky,-34.65,-59.43,Posada del Inti Centro
689,Omboue,GA,75.27,overcast clouds,-1.57,9.26,Hotel Olako
693,Ambulu,ID,75.09,overcast clouds,-8.35,113.61,Hotel Ambulu Jember
696,Rodrigues Alves,BR,84.2,scattered clouds,-7.74,-72.65,Pousada Aconchego
