City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Sitka,US,2020-10-30 22:50:21,57.05,-135.33,42.8,81,90,4.7
70,Atambua,ID,2020-10-30 22:49:09,-9.11,124.89,79.43,69,5,4.23
71,Lengshuijiang,CN,2020-10-30 22:50:22,27.69,111.43,58.35,88,79,0.58
72,Haines Junction,CA,2020-10-30 22:50:22,60.75,-137.51,21.2,67,100,8.05
73,Sabzevar,IR,2020-10-30 22:50:22,36.21,57.68,46.74,48,0,2.37
74,Funadhoo,MV,2020-10-30 22:50:22,6.15,73.27,81.91,75,18,9.17
75,Dublin,US,2020-10-30 22:50:22,37.7,-121.94,80.01,16,1,6.93
76,San Matias,BO,2020-10-30 22:50:22,-16.37,-58.4,77.83,54,87,5.91
77,Lahad Datu,MY,2020-10-30 22:50:22,5.03,118.33,77.49,84,74,2.59
78,Georgetown,MY,2020-10-30 22:50:22,5.41,100.34,80.6,88,20,2.24
79,Luganville,VU,2020-10-30 22:50:22,-15.53,167.17,82.4,78,75,8.05
80,Thompson,CA,2020-10-30 22:47:07,55.74,-97.86,19.4,67,90,3.36
81,Siuna,NI,2020-10-30 22:50:22,13.73,-84.78,76.57,92,57,2.55
82,Chokurdakh,RU,2020-10-30 22:47:07,70.63,147.92,9.03,96,100,7.36
83,Conceicao Da Barra,BR,2020-10-30 22:50:22,-18.59,-39.73,76.55,80,91,10.33
84,Rudnogorsk,RU,2020-10-30 22:50:23,57.26,103.75,20.3,97,100,5.1
85,Asfi,MA,2020-10-30 22:48:52,32.3,-9.24,69.35,62,13,10.16
86,Bosaso,SO,2020-10-30 22:50:23,11.28,49.18,80.06,72,78,2.35
87,Cape Town,ZA,2020-10-30 22:49:56,-33.93,18.42,57.99,58,0,21.92
88,Waipawa,NZ,2020-10-30 22:50:23,-41.41,175.52,61.0,93,100,26.4
89,Kodiak,US,2020-10-30 22:50:23,57.79,-152.41,32.0,76,90,6.93
90,Plaster Rock,CA,2020-10-30 22:50:23,46.91,-67.39,30.2,58,1,9.17
91,Hami,CN,2020-10-30 22:50:23,42.8,93.45,33.06,76,0,4.79
92,Atherton,GB,2020-10-30 22:50:23,53.52,-2.49,48.99,89,100,3.0
93,Guanica,PR,2020-10-30 22:50:23,17.97,-66.91,77.0,90,90,5.99
94,Saint George,US,2020-10-30 22:48:38,37.1,-113.58,78.01,16,1,2.98
95,Bredasdorp,ZA,2020-10-30 22:50:24,-34.53,20.04,46.4,81,6,1.12
96,Bluefields,NI,2020-10-30 22:50:24,12.01,-83.76,78.8,88,75,4.7
97,Manado,ID,2020-10-30 22:50:24,1.49,124.85,77.0,88,20,2.08
98,Fort Nelson,CA,2020-10-30 22:50:24,58.81,-122.7,23.0,79,90,9.17
99,Kedrovyy,RU,2020-10-30 22:50:24,56.17,91.82,26.6,92,75,6.71
100,Siguiri,GN,2020-10-30 22:50:24,11.67,-9.5,74.43,35,0,0.89
101,Yellowknife,CA,2020-10-30 22:45:30,62.46,-114.35,18.0,85,75,6.93
102,Blackburn,GB,2020-10-30 22:50:24,53.75,-2.48,43.0,89,99,7.49
103,Svetlogorsk,BY,2020-10-30 22:50:24,52.63,29.73,44.96,89,100,5.99
104,Christchurch,NZ,2020-10-30 22:50:24,-43.53,172.63,77.0,47,87,11.41
105,Estelle,US,2020-10-30 22:50:25,29.85,-90.11,64.0,63,1,6.93
106,Solhan,TR,2020-10-30 22:50:25,38.96,41.03,50.68,43,90,3.33
107,Hondo,JP,2020-10-30 22:50:25,32.45,130.2,55.4,54,0,17.22
108,Bijie,CN,2020-10-30 22:50:25,27.31,105.29,52.7,92,100,5.91
109,Mandalgovi,MN,2020-10-30 22:50:25,45.76,106.27,23.86,80,2,11.01
110,Grindavik,IS,2020-10-30 22:50:25,63.84,-22.43,39.2,100,90,6.93
111,Yurga,RU,2020-10-30 22:50:25,55.72,84.89,34.38,98,100,8.52
112,Marzuq,YE,2020-10-30 22:50:25,14.4,46.47,65.52,50,0,2.15
113,Schneeberg,DE,2020-10-30 22:50:25,50.6,12.63,48.99,10,99,21.99
114,Ponta Delgada,PT,2020-10-30 22:49:12,37.73,-25.67,69.8,88,75,14.99
115,Nacogdoches,US,2020-10-30 22:48:49,31.6,-94.63,66.2,37,1,4.7
116,Havelock,US,2020-10-30 22:45:28,34.88,-76.9,61.0,67,30,5.01
117,Phonhong,LA,2020-10-30 22:50:25,18.5,102.42,70.54,89,60,2.19
118,East London,ZA,2020-10-30 22:50:26,-33.02,27.91,62.01,68,100,2.53
119,Arraial Do Cabo,BR,2020-10-30 22:50:26,-22.97,-42.03,71.38,89,100,34.07
120,Victoria,HK,2020-10-30 22:46:23,22.29,114.16,73.0,84,91,15.37
121,Saldanha,ZA,2020-10-30 22:50:26,-33.01,17.94,55.4,66,0,11.41
122,Korla,CN,2020-10-30 22:50:26,41.76,86.15,39.0,66,0,5.01
123,Provideniya,RU,2020-10-30 22:50:26,64.38,-173.3,24.78,89,98,7.63
124,Sayyan,YE,2020-10-30 22:50:26,15.17,44.32,50.18,46,0,4.45
